Date,Open,High,Low,Close,Adj Close,Volume
2011-02-25,164.050003,165.880005,163.520004,165.119995,139.240356,4636200
2011-02-28,165.529999,166.250000,163.110001,163.779999,138.403717,4235200
2011-03-01,163.550003,164.490005,161.300003,161.309998,136.316422,7015500
2011-03-02,161.580002,163.330002,161.110001,161.690002,136.637589,4658400
2011-03-03,162.710007,165.179993,162.690002,164.490005,139.003693,4581200
2011-03-04,162.880005,163.000000,160.360001,161.000000,136.054443,7810800
2011-03-07,161.410004,161.839996,158.500000,159.149994,134.491135,7004100
2011-03-08,159.429993,161.779999,159.039993,161.300003,136.307953,4845900
2011-03-09,161.850006,163.720001,161.580002,162.350006,137.195313,4125200
2011-03-10,160.800003,161.000000,159.990005,160.270004,135.437607,4563400
2011-03-11,159.850006,161.550003,159.839996,160.679993,135.784042,2883900
2011-03-14,159.940002,160.500000,158.020004,158.429993,133.882690,4376100
2011-03-15,156.059998,158.050003,154.850006,157.250000,132.885498,5243600
2011-03-16,157.229996,157.240005,153.259995,154.380005,130.460190,7223400
2011-03-17,155.929993,156.350006,153.949997,155.750000,131.617905,5293900
2011-03-18,156.600006,160.250000,155.240005,159.960007,135.175629,10170600
2011-03-21,161.619995,162.149994,159.899994,160.210007,135.386887,4663300
2011-03-22,160.639999,162.210007,160.119995,160.789993,135.876968,3538900
2011-03-23,160.020004,160.229996,158.240005,159.529999,134.812241,3603300
2011-03-24,160.350006,160.500000,158.830002,159.910004,135.133362,2734400
2011-03-25,160.509995,160.509995,157.699997,157.970001,133.493973,4020700
2011-03-28,158.199997,159.289993,156.410004,156.470001,132.226318,3686800
2011-03-29,156.600006,158.699997,155.529999,158.470001,133.916458,3769400
2011-03-30,159.029999,160.429993,157.470001,159.070007,134.423477,2967200
2011-03-31,157.380005,160.070007,157.320007,158.600006,134.026352,3317700
2011-04-01,159.770004,162.000000,159.660004,160.229996,135.403809,3787900
2011-04-04,160.759995,160.880005,158.600006,158.899994,134.279755,2816800
2011-04-05,158.460007,159.149994,157.619995,158.910004,134.288269,3173700
2011-04-06,159.889999,161.990005,158.850006,161.889999,136.806519,4198700
2011-04-07,161.990005,164.399994,161.570007,162.399994,137.237534,4589200
2011-04-08,163.490005,163.619995,160.820007,160.960007,136.020660,3280800
2011-04-11,160.539993,162.910004,160.539993,161.470001,136.451599,3126900
2011-04-12,160.250000,161.440002,159.449997,160.419998,135.564362,3328100
2011-04-13,162.500000,163.979996,159.830002,160.169998,135.353073,5145000
2011-04-14,157.509995,157.600006,155.250000,155.789993,131.651749,7982300
2011-04-15,156.179993,156.949997,154.630005,155.130005,131.093964,5608300
2011-04-18,154.050003,154.880005,151.520004,153.779999,129.953125,5992900
2011-04-19,156.089996,156.100006,149.550003,151.860001,128.330658,13463800
2011-04-20,153.169998,154.149994,151.500000,152.699997,129.040482,7181300
2011-04-21,153.089996,154.330002,152.699997,153.509995,129.725006,3977500
2011-04-25,152.580002,152.589996,151.179993,152.190002,128.609512,3711600
2011-04-26,151.889999,153.949997,151.779999,153.270004,129.522171,4400000
2011-04-27,153.600006,153.850006,152.000000,152.860001,129.175674,4207000
2011-04-28,152.550003,152.600006,150.199997,150.600006,127.265892,5906700
2011-04-29,150.279999,151.869995,149.639999,151.009995,127.612289,6075500
2011-05-02,152.199997,153.070007,151.070007,151.300003,127.857407,4362700
2011-05-03,150.970001,152.800003,150.679993,151.869995,128.339096,3557400
2011-05-04,152.250000,152.460007,150.949997,151.520004,128.043365,3768000
2011-05-05,150.869995,151.220001,149.949997,150.410004,127.105278,4100200
2011-05-06,151.470001,151.970001,149.529999,150.100006,126.843285,5429300
2011-05-09,149.699997,149.869995,148.800003,149.119995,126.015167,3152400
2011-05-10,149.020004,150.740005,148.520004,150.399994,127.096893,4033800
2011-05-11,150.000000,150.000000,147.649994,147.880005,124.967300,5310500
2011-05-12,145.990005,146.779999,140.660004,142.750000,120.632133,20659200
2011-05-13,142.389999,142.520004,139.250000,141.460007,119.542053,14256700
