Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,11.630000,11.795000,11.601429,11.770357,10.091495,445138400
2011-01-04,11.872857,11.875000,11.719643,11.831786,10.144156,309080800
2011-01-05,11.769643,11.940714,11.767857,11.928571,10.227142,255519600
2011-01-06,11.954286,11.973214,11.889286,11.918929,10.218876,300428800
2011-01-07,11.928214,12.012500,11.853571,12.004286,10.292058,311931200
2011-01-10,12.101071,12.258214,12.041786,12.230357,10.485881,448560000
2011-01-11,12.317143,12.320000,12.123929,12.201429,10.461081,444108000
2011-01-12,12.258929,12.301071,12.214286,12.300714,10.546202,302590400
2011-01-13,12.327143,12.380000,12.280357,12.345714,10.584784,296780400
2011-01-14,12.353214,12.445714,12.301429,12.445714,10.670523,308840000
2011-01-18,11.768571,12.312857,11.642857,12.166071,10.430763,1880998000
2011-01-19,12.441071,12.450000,12.031429,12.101429,10.375343,1135612800
2011-01-20,12.015357,12.082143,11.790000,11.881429,10.186721,764789200
2011-01-21,11.920357,11.960000,11.665357,11.668571,10.004228,754401200
2011-01-24,11.673929,12.051786,11.668571,12.051786,10.332779,574683200
2011-01-25,12.011786,12.194286,11.948929,12.192857,10.453730,546868000
2011-01-26,12.248571,12.342857,12.196429,12.280357,10.528752,506875600
2011-01-27,12.277857,12.310357,12.243929,12.257500,10.509153,285026000
2011-01-28,12.291786,12.300000,11.911786,12.003571,10.291442,592057200
2011-01-31,11.992857,12.144286,11.939286,12.118571,10.390042,377246800
2011-02-01,12.189286,12.344643,12.177857,12.322500,10.564880,426633200
2011-02-02,12.301786,12.330357,12.269643,12.297143,10.543141,258955200
2011-02-03,12.278571,12.294286,12.091071,12.265714,10.516197,393797600
2011-02-04,12.272857,12.382143,12.268214,12.375000,10.609894,321840400
2011-02-07,12.424643,12.616071,12.415714,12.567143,10.774632,485021600
2011-02-08,12.631429,12.697143,12.576786,12.685714,10.876288,381040800
2011-02-09,12.685357,12.821429,12.673929,12.791429,10.966922,482745200
2011-02-10,12.763929,12.857143,12.428571,12.662143,10.856082,928550000
2011-02-11,12.669643,12.778571,12.626429,12.744643,10.926811,367572800
2011-02-14,12.742500,12.838571,12.739643,12.827857,10.998158,310416400
2011-02-15,12.828214,12.856071,12.769643,12.853571,11.020205,284174800
2011-02-16,12.885714,13.032143,12.875000,12.968929,11.119105,481157600
2011-02-17,12.758929,12.866786,12.732857,12.796429,10.971209,530583200
2011-02-18,12.811071,12.839286,12.482857,12.520000,10.734214,816057200
2011-02-22,12.219643,12.335714,12.061429,12.093214,10.368300,872555600
2011-02-23,12.098929,12.308571,12.093214,12.236429,10.491088,671854400
2011-02-24,12.286429,12.326786,12.084643,12.245714,10.499049,499900800
2011-02-25,12.330714,12.443929,12.314286,12.434286,10.660726,380018800
2011-02-28,12.544286,12.680357,12.540000,12.614643,10.815353,403074000
2011-03-01,12.695357,12.704286,12.417143,12.475357,10.695935,456136800
2011-03-02,12.498571,12.655357,12.442857,12.575714,10.781980,602590800
2011-03-03,12.756786,12.849643,12.711429,12.841429,11.009791,500788400
2011-03-04,12.859643,12.867500,12.776786,12.857143,11.023266,453266800
2011-03-07,12.907143,12.916786,12.546786,12.691429,10.881188,546123200
2011-03-08,12.675357,12.764286,12.580357,12.705714,10.893435,356316800
2011-03-09,12.667500,12.670000,12.521429,12.588214,10.792694,453306000
2011-03-10,12.468571,12.491786,12.317857,12.381071,10.615096,507539200
2011-03-11,12.333214,12.582857,12.321429,12.571071,10.777997,471080400
2011-03-14,12.613571,12.731429,12.546786,12.627143,10.826071,435957200
