Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,139.580002,141.399994,133.910004,137.619995,105.399193,97651515
2016-01-01,137.619995,137.619995,118.000000,124.790001,95.573074,126209638
2016-02-01,124.400002,134.919998,116.901001,131.029999,100.352112,106704629
2016-03-01,132.240005,153.100006,132.029999,151.449997,117.175995,105742999
2016-04-01,150.509995,153.520004,142.610001,145.940002,112.912926,94443484
2016-05-01,146.559998,153.809998,142.899994,153.740005,118.947762,75248308
2016-06-01,153.000000,155.479996,142.500000,151.779999,118.564575,77114756
2016-07-01,152.190002,163.600006,149.919998,160.619995,125.470024,69939530
2016-08-01,160.649994,164.949997,157.850006,158.880005,124.110847,69705619
2016-09-01,158.320007,165.000000,153.210007,158.850006,125.159081,69951218
2016-10-01,158.059998,158.529999,147.789993,153.690002,121.093491,78312271
2016-11-01,153.500000,164.660004,151.000000,162.220001,127.814331,76340584
2016-12-01,161.949997,169.951996,158.300003,165.990005,131.971207,69461901
