Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,34.770000,34.950001,29.900000,31.260000,21.278275,184723474
2016-01-01,31.260000,32.380001,27.555000,32.369999,22.033844,212066172
2016-02-01,31.180000,31.885000,27.010000,29.090000,19.801186,198766299
2016-03-01,29.450001,31.740000,29.100000,30.180000,20.977913,168273702
2016-04-01,29.290001,34.000000,28.670000,33.580002,23.341228,206684292
2016-05-01,33.619999,33.750000,30.760000,31.400000,21.825924,170078782
2016-06-01,30.799999,35.584999,30.660000,35.509998,25.146139,285190307
2016-07-01,35.799999,37.279999,33.869999,34.400002,24.360104,154144236
2016-08-01,33.910000,34.799999,32.500000,33.860001,23.977707,136113170
2016-09-01,33.810001,35.389999,33.060001,35.160000,25.353052,125318987
2016-10-01,35.340000,36.830002,35.209999,35.549999,25.634275,98863465
2016-11-01,35.020000,35.270000,32.529999,35.009998,25.244888,128822236
2016-12-01,35.689999,37.674999,35.290001,37.380001,27.437754,115963572
