Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,81.760002,82.129997,73.790001,77.949997,57.979969,366981178
2016-01-01,77.949997,79.919998,71.550003,77.849998,57.905605,418888675
2016-02-01,76.660004,83.440002,73.550003,80.150002,59.616344,359789520
2016-03-01,80.559998,85.099998,80.309998,83.589996,62.739384,292829035
2016-04-01,82.400002,89.779999,81.989998,88.400002,66.349571,221783212
2016-05-01,88.239998,90.459999,87.230003,89.019997,66.814903,219157446
2016-06-01,88.430000,93.827301,87.610001,93.739998,70.948898,252306761
2016-07-01,93.360001,95.550003,86.120003,88.949997,67.323471,210599062
2016-08-01,88.080002,88.940002,85.580002,87.139999,65.953545,235396387
2016-09-01,86.720001,89.370003,82.290001,87.279999,66.622818,271609085
2016-10-01,86.940002,88.669998,82.989998,83.320000,63.600063,192025525
2016-11-01,83.500000,88.190002,82.760002,87.300003,66.638100,233072908
2016-12-01,87.980003,93.214996,86.599998,90.260002,69.507599,220420016
